bitflux,hscflux,bitback,hscback,bitxw,hscxw,bityw,hscyw,bitalpha,hscalpha,bitdelta,hscdelta,bita,hsca,bitb,hscb
1.091423999999999910e-03,2.513764000000000109e+01,1.297355999999999943e-03,1.905313000000000059e-03,1.977919366799999921e+02,1.977917541799999981e+02,-1.444437457800000102e+00,-1.444520775199999996e+00,1.977919367000000079e+02,1.977917542000000140e+02,-1.444437500000000041e+00,-1.444520800000000049e+00,1.814999999999999947e+00,4.070000000000000284e+00,1.054999999999999938e+00,2.556000000000000050e+00
1.896435999999999879e-04,1.441929999999999934e+00,1.296674999999999954e-03,2.215073000000000129e-03,1.977777394100000095e+02,1.977775724400000001e+02,-1.422664869499999929e+00,-1.422677099800000011e+00,1.977777394000000015e+02,1.977775723999999968e+02,-1.422664900000000010e+00,-1.422677100000000028e+00,8.810000000000000053e-01,1.262000000000000011e+00,5.779999999999999583e-01,8.459999999999999742e-01
1.896435999999999879e-04,2.653731000000000062e+00,1.296674999999999954e-03,2.088630000000000174e-03,1.977777394100000095e+02,1.977780481300000019e+02,-1.422664869499999929e+00,-1.422278386999999977e+00,1.977777394000000015e+02,1.977780481000000066e+02,-1.422664900000000010e+00,-1.422278399999999943e+00,8.810000000000000053e-01,1.336000000000000076e+00,5.779999999999999583e-01,1.258999999999999897e+00
1.379026000000000102e-04,9.845302999999999694e-01,1.302055000000000096e-03,2.204311000000000031e-03,1.978226458499999865e+02,1.978224449900000081e+02,-1.490166286400000040e+00,-1.490184627299999898e+00,1.978226458000000036e+02,1.978224449999999877e+02,-1.490166300000000055e+00,-1.490184600000000081e+00,9.489999999999999547e-01,9.230000000000000426e-01,4.359999999999999987e-01,8.800000000000000044e-01
1.229671999999999905e-04,2.513764000000000109e+01,1.297282000000000079e-03,1.905313000000000059e-03,1.977920530000000099e+02,1.977917541799999981e+02,-1.444056888600000033e+00,-1.444520775199999996e+00,1.977920530000000099e+02,1.977917542000000140e+02,-1.444056900000000088e+00,-1.444520800000000049e+00,7.399999999999999911e-01,4.070000000000000284e+00,4.510000000000000120e-01,2.556000000000000050e+00
4.718367000000000221e-03,6.455692999999999415e+01,1.298286999999999965e-03,-1.642496000000000017e-03,1.977993341499999929e+02,1.977991062700000100e+02,-1.455499254200000037e+00,-1.455609196900000013e+00,1.977993341000000100e+02,1.977991063000000054e+02,-1.455499300000000051e+00,-1.455609200000000047e+00,2.633000000000000007e+00,3.709999999999999964e+00,2.060999999999999943e+00,3.164000000000000146e+00
6.595928999999999508e-04,9.761915999999999372e+00,1.302535999999999972e-03,4.284162000000000213e-03,1.978169162000000085e+02,1.978168273400000032e+02,-1.481372962400000048e+00,-1.481417192999999966e+00,1.978169162000000085e+02,1.978168272999999999e+02,-1.481373000000000051e+00,-1.481417200000000101e+00,1.883000000000000007e+00,3.233999999999999986e+00,1.072000000000000064e+00,1.921999999999999931e+00
2.330680999999999920e-04,2.473203999999999958e+00,1.300097999999999965e-03,3.416161000000000024e-03,1.978146085900000060e+02,1.978143756100000132e+02,-1.477259911600000031e+00,-1.477210168999999906e+00,1.978146086000000139e+02,1.978143756000000053e+02,-1.477259899999999959e+00,-1.477210200000000029e+00,9.799999999999999822e-01,1.647000000000000020e+00,6.919999999999999485e-01,1.479999999999999982e+00
1.332222000000000094e-03,1.553393999999999942e+01,1.304025000000000106e-03,7.391934999999999652e-03,1.978350273899999934e+02,1.978348396499999922e+02,-1.508647998899999898e+00,-1.508612253099999911e+00,1.978350274000000013e+02,1.978348396000000093e+02,-1.508647999999999989e+00,-1.508612300000000017e+00,2.166999999999999815e+00,3.665000000000000036e+00,1.348000000000000087e+00,2.830000000000000071e+00
2.546625000000000169e-04,6.751829999999999998e+00,1.296854999999999970e-03,5.227456999999999590e-03,1.977868419899999992e+02,1.977866639599999985e+02,-1.434908599499999937e+00,-1.435118932399999991e+00,1.977868420000000071e+02,1.977866640000000018e+02,-1.434908599999999979e+00,-1.435118899999999975e+00,1.455999999999999961e+00,2.637000000000000011e+00,4.939999999999999947e-01,1.655999999999999917e+00
1.203354000000000012e-03,6.996525000000000105e+00,1.296534999999999918e-03,3.814730000000000117e-03,1.977831548400000088e+02,1.977830348800000024e+02,-1.429813276199999983e+00,-1.429843161900000048e+00,1.977831548000000055e+02,1.977830348999999899e+02,-1.429813299999999954e+00,-1.429843200000000092e+00,1.538000000000000034e+00,2.003000000000000114e+00,1.193999999999999950e+00,1.691000000000000059e+00
4.409155000000000105e-04,6.751829999999999998e+00,1.296824999999999931e-03,5.227456999999999590e-03,1.977867303499999991e+02,1.977866639599999985e+02,-1.435111650899999924e+00,-1.435118932399999991e+00,1.977867304000000104e+02,1.977866640000000018e+02,-1.435111699999999990e+00,-1.435118899999999975e+00,1.756999999999999895e+00,2.637000000000000011e+00,7.159999999999999698e-01,1.655999999999999917e+00
3.792291000000000043e-04,1.262556000000000012e+00,1.301078000000000000e-03,1.762370000000000082e-03,1.978300696000000016e+02,1.978299498300000039e+02,-1.500011787999999902e+00,-1.499976975400000079e+00,1.978300696000000016e+02,1.978299498000000085e+02,-1.500011800000000006e+00,-1.499976999999999894e+00,1.252999999999999892e+00,1.625999999999999890e+00,5.989999999999999769e-01,7.339999999999999858e-01
5.314385999999999503e-04,7.319937000000000360e+00,1.297215999999999907e-03,2.310747000000000148e-03,1.977794989900000076e+02,1.977793633899999861e+02,-1.423849264400000036e+00,-1.423864435999999900e+00,1.977794989999999871e+02,1.977793633999999940e+02,-1.423849300000000095e+00,-1.423864400000000030e+00,1.256000000000000005e+00,2.323999999999999844e+00,1.038000000000000034e+00,1.862000000000000099e+00
4.433293000000000043e-04,2.653731000000000062e+00,1.296608999999999999e-03,2.088630000000000174e-03,1.977782008099999871e+02,1.977780481300000019e+02,-1.422228412199999958e+00,-1.422278386999999977e+00,1.977782008000000076e+02,1.977780481000000066e+02,-1.422228400000000059e+00,-1.422278399999999943e+00,1.435999999999999943e+00,1.336000000000000076e+00,1.193999999999999950e+00,1.258999999999999897e+00
1.601565999999999905e-04,2.395436999999999816e+00,1.298840000000000107e-03,2.278638999999999838e-03,1.978081028500000116e+02,1.978079801000000089e+02,-1.466304540100000109e+00,-1.466335053099999897e+00,1.978081028000000003e+02,1.978079801000000089e+02,-1.466304499999999900e+00,-1.466335100000000002e+00,1.002999999999999892e+00,1.570999999999999952e+00,4.809999999999999831e-01,7.840000000000000302e-01
1.500615999999999972e-03,9.547556999999999405e+00,1.298873999999999992e-03,2.333776999999999987e-03,1.978064627299999927e+02,1.978063260200000002e+02,-1.464486535700000092e+00,-1.464531523100000010e+00,1.978064626999999973e+02,1.978063260000000128e+02,-1.464486500000000024e+00,-1.464531500000000097e+00,1.721999999999999975e+00,2.241999999999999993e+00,1.520999999999999908e+00,1.951999999999999957e+00
8.890127000000000272e-04,1.005695000000000050e+01,1.302006999999999991e-03,4.214062999999999663e-03,1.978177489699999967e+02,1.978176380900000026e+02,-1.480708696400000024e+00,-1.480777189299999907e+00,1.978177489999999921e+02,1.978176381000000106e+02,-1.480708700000000100e+00,-1.480777199999999905e+00,1.860999999999999988e+00,3.003000000000000114e+00,1.294000000000000039e+00,1.931999999999999940e+00
7.498087999999999975e-03,5.115961000000000070e+01,1.299933999999999985e-03,3.574370999999999798e-03,1.978118231500000093e+02,1.978116681600000106e+02,-1.473574339200000027e+00,-1.473588709399999974e+00,1.978118231999999921e+02,1.978116682000000139e+02,-1.473574299999999893e+00,-1.473588700000000085e+00,6.078000000000000291e+00,6.237000000000000099e+00,2.419999999999999929e+00,2.884999999999999787e+00
4.294155999999999820e-04,6.996535999999999866e-01,1.299650000000000067e-03,2.817782999999999920e-03,1.978117423299999871e+02,1.978116159900000071e+02,-1.471462443100000073e+00,-1.471492455899999996e+00,1.978117422999999917e+02,1.978116159999999866e+02,-1.471462400000000059e+00,-1.471492500000000092e+00,1.641999999999999904e+00,1.155999999999999917e+00,9.529999999999999583e-01,5.699999999999999512e-01
2.295879999999999980e-04,3.560033999999999921e+00,1.299117999999999931e-03,-1.230790999999999960e-03,1.978028248500000075e+02,1.978026792100000080e+02,-1.457634138099999976e+00,-1.457724982000000002e+00,1.978028247999999962e+02,1.978026792000000000e+02,-1.457634099999999933e+00,-1.457724999999999937e+00,1.120000000000000107e+00,2.033999999999999808e+00,6.800000000000000488e-01,1.588000000000000078e+00
2.802627999999999825e-04,4.174998999999999683e+00,1.300986999999999977e-03,3.797218000000000208e-03,1.978002757099999940e+02,1.978001548000000014e+02,-1.453714288300000046e+00,-1.453686659199999953e+00,1.978002756999999860e+02,1.978001548000000014e+02,-1.453714299999999904e+00,-1.453686699999999998e+00,1.306000000000000050e+00,1.830000000000000071e+00,6.570000000000000284e-01,1.403000000000000025e+00
3.558383000000000249e-04,3.802691999999999961e+00,1.302371999999999991e-03,4.441632000000000045e-03,1.978185912300000098e+02,1.978184406999999965e+02,-1.481251401299999992e+00,-1.481285287299999975e+00,1.978185911999999860e+02,1.978184406999999965e+02,-1.481251400000000107e+00,-1.481285299999999916e+00,1.008000000000000007e+00,1.655999999999999917e+00,7.209999999999999742e-01,1.429999999999999938e+00
2.098648000000000104e-04,1.335731000000000002e+00,1.296051000000000104e-03,2.861169000000000212e-03,1.977700592399999948e+02,1.977699330400000122e+02,-1.407991272300000096e+00,-1.408040982199999958e+00,1.977700591999999915e+02,1.977699330000000089e+02,-1.407991299999999946e+00,-1.408041000000000098e+00,1.264000000000000012e+00,1.211999999999999966e+00,5.819999999999999618e-01,7.940000000000000391e-01
2.362484999999999997e-04,1.391246999999999900e+00,1.297268000000000076e-03,1.936180000000000019e-03,1.977939304600000128e+02,1.977938611200000025e+02,-1.444058068299999942e+00,-1.444044334500000026e+00,1.977939304999999877e+02,1.977938610999999867e+02,-1.444058099999999900e+00,-1.444044300000000058e+00,1.760000000000000009e+00,1.147000000000000020e+00,4.450000000000000067e-01,9.709999999999999742e-01
2.225158999999999991e-03,1.507640999999999920e+01,1.297107000000000034e-03,2.975872000000000066e-03,1.977816760400000078e+02,1.977815392800000041e+02,-1.425991181899999960e+00,-1.426034047599999965e+00,1.977816760000000045e+02,1.977815392999999915e+02,-1.425991199999999903e+00,-1.426034000000000024e+00,1.937999999999999945e+00,2.202999999999999847e+00,1.399000000000000021e+00,2.059000000000000163e+00
